Layer 1
X	Y	Z	Head	
646152.031	3881974.88	185.889999	1.00000002E30	
646456.063	3881974.88	137.539993	1.00000002E30	
646760.094	3881974.88	150.050003	1.00000002E30	
647064.156	3881974.88	174.32	1.00000002E30	
647368.188	3881974.88	208.365005	207	
647672.219	3881974.88	209.439995	207	
647976.25	3881974.88	212.889999	210	
648280.281	3881974.88	140.294998	1.00000002E30	
648584.344	3881974.88	134.797501	1.00000002E30	
648888.375	3881974.88	120.526501	1.00000002E30	
649192.406	3881974.88	108.429497	1.00000002E30	
649496.469	3881974.88	102.470499	1.00000002E30	
649800.5	3881974.88	97.7859993	1.00000002E30	
650104.531	3881974.88	97.729497	1.00000002E30	
650408.594	3881974.88	108.757164	1.00000002E30	
650712.625	3881974.88	101.629501	1.00000002E30	
651016.656	3881974.88	95.9945011	1.00000002E30	
651320.719	3881974.88	86.3494968	1.00000002E30	
651624.75	3881974.88	80.2615013	1.00000002E30	
651928.875	3881974.88	69.7884979	1.00000002E30	
646152.031	3881590.13	186.509995	1.00000002E30	
646456.063	3881590.13	147.720001	1.00000002E30	
646760.094	3881590.13	146.690002	1.00000002E30	
647064.156	3881590.13	209.880005	208	
647368.188	3881590.13	207.435005	209.634048	
647672.219	3881590.13	208.355003	211.043289	
647976.25	3881590.13	212.005005	213.021332	
648280.281	3881590.13	217.794998	216	
648584.344	3881590.13	179.860001	1.00000002E30	
648888.375	3881590.13	157.57	1.00000002E30	
649192.406	3881590.13	138.579998	1.00000002E30	
649496.469	3881590.13	128.599998	1.00000002E30	
649800.5	3881590.13	125.358501	1.00000002E30	
650104.531	3881590.13	124.213001	1.00000002E30	
650408.594	3881590.13	124.726	1.00000002E30	
650712.625	3881590.13	110.130503	1.00000002E30	
651016.656	3881590.13	101.451949	1.00000002E30	
651320.719	3881590.13	102.911504	1.00000002E30	
651624.75	3881590.13	99.3380013	1.00000002E30	
651928.875	3881590.13	88.6049995	1.00000002E30	
646152.031	3881231.25	185.389999	1.00000002E30	
646456.063	3881231.25	206.970001	1.00000002E30	
646760.094	3881231.25	167.389999	1.00000002E30	
647064.156	3881231.25	210.899994	207	
647368.188	3881231.25	208.210007	209.72435	
647672.219	3881231.25	209.099998	210.84462	
647976.25	3881231.25	212.295006	212.745987	
648280.281	3881231.25	218.43	215	
648584.344	3881231.25	227.25	1.00000002E30	
648888.375	3881231.25	204.979996	1.00000002E30	
649192.406	3881231.25	163.270004	1.00000002E30	
649496.469	3881231.25	152.470001	1.00000002E30	
649800.5	3881231.25	155.5	1.00000002E30	
650104.531	3881231.25	157.889999	1.00000002E30	
650408.594	3881231.25	173.460007	1.00000002E30	
650712.625	3881231.25	189.184998	1.00000002E30	
651016.656	3881231.25	172.82	1.00000002E30	
651320.719	3881231.25	150.9035	1.00000002E30	
651624.75	3881231.25	127.185	1.00000002E30	
651928.875	3881231.25	111.037994	1.00000002E30	
646152.031	3880852.63	218.910004	1.00000002E30	
646456.063	3880852.63	221.580002	1.00000002E30	
646760.094	3880852.63	222.789993	1.00000002E30	
647064.156	3880852.63	207.529999	1.00000002E30	
647368.188	3880852.63	211.619995	208	
647672.219	3880852.63	211.949997	208	
647976.25	3880852.63	214.464996	213.745575	
648280.281	3880852.63	218.610001	216.55513	
648584.344	3880852.63	223.730003	220	
648888.375	3880852.63	226.605003	224	
649192.406	3880852.63	211.210007	1.00000002E30	
649496.469	3880852.63	175.660004	1.00000002E30	
649800.5	3880852.63	165.139999	1.00000002E30	
650104.531	3880852.63	160.320007	1.00000002E30	
650408.594	3880852.63	163.850006	1.00000002E30	
650712.625	3880852.63	174.229996	1.00000002E30	
651016.656	3880852.63	174.599998	1.00000002E30	
651320.719	3880852.63	165.880001	1.00000002E30	
651624.75	3880852.63	152.333	1.00000002E30	
651928.875	3880852.63	112.807052	1.00000002E30	
646152.031	3880474	226.929993	1.00000002E30	
646456.063	3880474	239.559998	1.00000002E30	
646760.094	3880474	234.119995	1.00000002E30	
647064.156	3880474	228.410004	1.00000002E30	
647368.188	3880474	231.834999	1.00000002E30	
647672.219	3880474	216.470001	213	
647976.25	3880474	218.459999	215.9505	
648280.281	3880474	220.07	218.440277	
648584.344	3880474	224.525002	221.911423	
648888.375	3880474	229.315002	225.028687	
649192.406	3880474	233.190002	228	
649496.469	3880474	232.820007	1.00000002E30	
649800.5	3880474	207.619995	1.00000002E30	
650104.531	3880474	177.630005	1.00000002E30	
650408.594	3880474	166.419998	1.00000002E30	
650712.625	3880474	167.240005	1.00000002E30	
651016.656	3880474	175.25	1.00000002E30	
651320.719	3880474	164.970001	1.00000002E30	
651624.75	3880474	147.034996	1.00000002E30	
651928.875	3880474	116.687496	1.00000002E30	
646152.031	3880095.5	246.739998	1.00000002E30	
646456.063	3880095.5	252.809998	1.00000002E30	
646760.094	3880095.5	243.130005	1.00000002E30	
647064.156	3880095.5	241.169998	1.00000002E30	
647368.188	3880095.5	246.004997	1.00000002E30	
647672.219	3880095.5	240.875	1.00000002E30	
647976.25	3880095.5	226.014999	218	
648280.281	3880095.5	227.105003	220	
648584.344	3880095.5	228.57	224.566544	
648888.375	3880095.5	230.574997	227.53949	
649192.406	3880095.5	233.620003	230.247635	
649496.469	3880095.5	236.900002	233	
649800.5	3880095.5	242.360001	237	
650104.531	3880095.5	197.479996	1.00000002E30	
650408.594	3880095.5	181.889999	1.00000002E30	
650712.625	3880095.5	175.309998	1.00000002E30	
651016.656	3880095.5	176.710007	1.00000002E30	
651320.719	3880095.5	171.704994	1.00000002E30	
651624.75	3880095.5	157.739998	1.00000002E30	
651928.875	3880095.5	126.411503	1.00000002E30	
646152.031	3879717	263.650002	1.00000002E30	
646456.063	3879717	267.559998	1.00000002E30	
646760.094	3879717	268.450012	1.00000002E30	
647064.156	3879717	256.309998	1.00000002E30	
647368.188	3879717	256.320007	1.00000002E30	
647672.219	3879717	252.845001	1.00000002E30	
647976.25	3879717	254.660004	1.00000002E30	
648280.281	3879717	254.445007	1.00000002E30	
648584.344	3879717	233.425003	227	
648888.375	3879717	234.439995	230	
649192.406	3879717	236.440002	233.106674	
649496.469	3879717	240	236.671326	
649800.5	3879717	242.644997	240.091644	
650104.531	3879717	246.149994	243	
650408.594	3879717	249.779999	245	
650712.625	3879717	191.240005	1.00000002E30	
651016.656	3879717	176.820007	1.00000002E30	
651320.719	3879717	175.960007	1.00000002E30	
651624.75	3879717	182.455002	1.00000002E30	
651928.875	3879717	143.661499	1.00000002E30	
646152.031	3879338.5	278.405006	1.00000002E30	
646456.063	3879338.5	293.644989	1.00000002E30	
646760.094	3879338.5	283.949997	1.00000002E30	
647064.156	3879338.5	278.674988	1.00000002E30	
647368.188	3879338.5	274.269989	1.00000002E30	
647672.219	3879338.5	271.830002	1.00000002E30	
647976.25	3879338.5	268.764999	1.00000002E30	
648280.281	3879338.5	264.340012	1.00000002E30	
648584.344	3879338.5	259.409996	1.00000002E30	
648888.375	3879338.5	255.769997	1.00000002E30	
649192.406	3879338.5	243.059998	237	
649496.469	3879338.5	242.975006	238	
649800.5	3879338.5	244.435005	241.40062	
650104.531	3879338.5	247.095001	244.568466	
650408.594	3879338.5	248.509995	246.849243	
650712.625	3879338.5	250.200005	249	
651016.656	3879338.5	192.160004	1.00000002E30	
651320.719	3879338.5	186.009995	1.00000002E30	
651624.75	3879338.5	207.375	1.00000002E30	
651928.875	3879338.5	189.410004	1.00000002E30	
646152.031	3878959.88	288.914993	1.00000002E30	
646456.063	3878959.88	303.324997	1.00000002E30	
646760.094	3878959.88	296.949997	1.00000002E30	
647064.156	3878959.88	293.714996	1.00000002E30	
647368.188	3878959.88	288.964996	1.00000002E30	
647672.219	3878959.88	284.964996	1.00000002E30	
647976.25	3878959.88	278.850006	1.00000002E30	
648280.281	3878959.88	271.23999	1.00000002E30	
648584.344	3878959.88	265.009995	1.00000002E30	
648888.375	3878959.88	259.850006	1.00000002E30	
649192.406	3878959.88	255.869995	1.00000002E30	
649496.469	3878959.88	246.864998	241	
649800.5	3878959.88	246.404999	242	
650104.531	3878959.88	247.095001	246.588257	
650408.594	3878959.88	249.800003	248.491928	
650712.625	3878959.88	254.409996	250	
651016.656	3878959.88	219.75	1.00000002E30	
651320.719	3878959.88	188.75	1.00000002E30	
651624.75	3878959.88	215.990005	1.00000002E30	
651928.875	3878959.88	199.394997	1.00000002E30	
646152.031	3878581.25	284.395004	1.00000002E30	
646456.063	3878581.25	295.910004	1.00000002E30	
646760.094	3878581.25	297.940002	1.00000002E30	
647064.156	3878581.25	295.809998	1.00000002E30	
647368.188	3878581.25	290.209991	1.00000002E30	
647672.219	3878581.25	281.820007	1.00000002E30	
647976.25	3878581.25	277.480011	1.00000002E30	
648280.281	3878581.25	269.709991	1.00000002E30	
648584.344	3878581.25	263.779999	1.00000002E30	
648888.375	3878581.25	261.910004	1.00000002E30	
649192.406	3878581.25	262.470001	1.00000002E30	
649496.469	3878581.25	264.179993	1.00000002E30	
649800.5	3878581.25	253.485001	247	
650104.531	3878581.25	253.215004	250.235809	
650408.594	3878581.25	253.865005	251.259247	
650712.625	3878581.25	255.720001	252	
651016.656	3878581.25	249.284996	1.00000002E30	
651320.719	3878581.25	196.949997	1.00000002E30	
